,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
SERPINB1,8.65E-20,0.3554477,0.706,0.626,1.94E-15,0,SERPINB1
PLEK,0.00E+00,0.9956716,0.914,0.463,0.00E+00,1,PLEK
RAP1B,0.00E+00,0.9100634,0.981,0.858,0.00E+00,1,RAP1B
TAGLN2,3.16E-297,0.702449,0.964,0.828,7.08E-293,1,TAGLN2
FERMT3,5.81E-295,0.7790871,0.894,0.524,1.30E-290,1,FERMT3
CMTM5,3.33E-294,0.7727502,0.822,0.384,7.46E-290,1,CMTM5
H2AFZ,6.41E-289,0.6692841,0.976,0.952,1.44E-284,1,H2AFZ
CAVIN2,2.03E-274,0.7019206,0.82,0.382,4.53E-270,1,CAVIN2
H3F3A,6.65E-271,0.4608368,0.999,0.987,1.49E-266,1,H3F3A
PTMA,5.33E-266,0.4949722,1,0.995,1.19E-261,1,PTMA
TUBB1,3.39E-265,0.5607835,0.764,0.31,7.58E-261,1,TUBB1
SNCA,1.23E-262,0.7074101,0.935,0.699,2.76E-258,1,SNCA
TMSB4X,2.18E-259,0.7120608,1,0.997,4.87E-255,1,TMSB4X
UBE2C,4.50E-257,1.1491819,0.871,0.637,1.01E-252,1,UBE2C
FTH1,2.09E-256,0.5487944,0.999,0.99,4.67E-252,1,FTH1
GP9,2.79E-248,0.643175,0.763,0.338,6.24E-244,1,GP9
NAA38,3.56E-242,0.641077,0.923,0.828,7.96E-238,1,NAA38
PF4,2.20E-238,0.8002181,0.982,0.832,4.92E-234,1,PF4
HMGN1,7.32E-234,0.4870464,0.977,0.936,1.64E-229,1,HMGN1
PDLIM1,9.09E-234,0.6169812,0.943,0.798,2.04E-229,1,PDLIM1
PRKAR2B,2.46E-231,0.66866,0.862,0.548,5.49E-227,1,PRKAR2B
ARHGAP6,3.49E-231,0.5306136,0.748,0.324,7.82E-227,1,ARHGAP6
LY6G6F.LY6G6D,1.72E-225,0.4370862,0.636,0.24,3.84E-221,1,LY6G6F.LY6G6D
CCND3,5.58E-223,0.6059038,0.917,0.727,1.25E-218,1,CCND3
LIMS1,8.31E-213,0.524072,0.926,0.739,1.86E-208,1,LIMS1
HBD,8.77E-213,1.0632828,0.932,0.707,1.96E-208,1,HBD
MYLK,1.41E-212,0.4791247,0.712,0.308,3.15E-208,1,MYLK
RAB27B,3.10E-210,0.5672597,0.75,0.354,6.94E-206,1,RAB27B
MEF2C,3.19E-209,0.6232864,0.854,0.521,7.14E-205,1,MEF2C
C2orf88,8.27E-203,0.5978578,0.801,0.503,1.85E-198,1,C2orf88
DGKI,1.21E-199,0.4126023,0.599,0.208,2.70E-195,1,DGKI
COL24A1,2.94E-199,0.3560918,0.492,0.148,6.59E-195,1,COL24A1
SLC37A1,2.39E-196,0.5470817,0.686,0.324,5.35E-192,1,SLC37A1
ITGA2B,2.62E-190,0.478295,0.762,0.396,5.87E-186,1,ITGA2B
FCER1G,3.63E-187,0.5168739,0.845,0.523,8.11E-183,1,FCER1G
SH3BGRL3,3.27E-184,0.5645448,0.992,0.925,7.32E-180,1,SH3BGRL3
GATA1,3.12E-183,0.5392889,0.828,0.479,6.98E-179,1,GATA1
SRGN,2.79E-180,0.2565361,0.776,0.385,6.24E-176,1,SRGN
TLN1,2.14E-179,0.5200976,0.894,0.765,4.80E-175,1,TLN1
HBQ1,9.43E-175,0.5843628,0.74,0.393,2.11E-170,1,HBQ1
