,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
PFN1,8.40E-169,0.3411233,0.999,0.987,1.88E-164,1,PFN1
UQCRH,2.66E-168,0.3141149,0.987,0.95,5.94E-164,1,UQCRH
GAD11,2.57E-167,0.5415034,0.82,0.493,5.75E-163,1,GAD1
DMTN,1.02E-163,0.4324148,0.656,0.308,2.28E-159,1,DMTN
CDKN2D,2.13E-163,0.5881903,0.646,0.334,4.77E-159,1,CDKN2D
LAMTOR1,2.67E-156,0.4403664,0.931,0.852,5.97E-152,1,LAMTOR1
LYL1,6.16E-156,0.4867181,0.896,0.749,1.38E-151,1,LYL1
HEXIM1,2.77E-155,0.4407582,0.737,0.44,6.21E-151,1,HEXIM1
RGS10,1.24E-153,0.473944,0.951,0.78,2.77E-149,1,RGS10
ARHGAP18,1.75E-149,0.4347806,0.715,0.429,3.91E-145,1,ARHGAP18
CD47,1.43E-148,0.5480907,0.798,0.571,3.20E-144,1,CD47
MPIG6B,1.23E-147,0.2661591,0.531,0.202,2.75E-143,1,MPIG6B
MTURN,1.96E-146,0.3759738,0.657,0.343,4.40E-142,1,MTURN
THBS1,4.89E-146,0.4575373,0.715,0.388,1.09E-141,1,THBS1
HBG2,7.09E-146,0.5877203,0.999,0.852,1.59E-141,1,HBG2
DUT,9.08E-145,0.4811542,0.892,0.808,2.03E-140,1,DUT
GPX4,2.29E-144,0.3169585,0.967,0.934,5.12E-140,1,GPX4
CAMK1,1.58E-142,0.3885894,0.573,0.271,3.53E-138,1,CAMK1
PDE5A,6.13E-141,0.2757161,0.495,0.188,1.37E-136,1,PDE5A
SLC30A5,7.03E-141,0.4958992,0.717,0.485,1.57E-136,1,SLC30A5
RRM2,7.55E-141,0.4784069,0.703,0.438,1.69E-136,1,RRM2
CXCL2,2.08E-140,0.3946805,0.582,0.267,4.65E-136,1,CXCL2
OAZ1,8.24E-139,0.3320785,0.99,0.949,1.84E-134,1,OAZ1
MTSS1,8.36E-139,0.4091236,0.714,0.438,1.87E-134,1,MTSS1
DIAPH1,4.13E-138,0.4651809,0.743,0.51,9.24E-134,1,DIAPH1
LTBP1,9.36E-138,0.4262646,0.715,0.428,2.09E-133,1,LTBP1
TGFB1,7.82E-137,0.4836669,0.821,0.706,1.75E-132,1,TGFB1
GMPR,1.99E-136,0.4461605,0.814,0.542,4.45E-132,1,GMPR
S100A4,3.38E-136,0.5331702,0.94,0.784,7.56E-132,1,S100A4
PCLAF,1.20E-135,0.4648623,0.882,0.735,2.68E-131,1,PCLAF
DNAAF3,1.16E-134,0.2699339,0.418,0.149,2.59E-130,1,DNAAF3
BMP2K,1.19E-134,0.4677347,0.779,0.574,2.66E-130,1,BMP2K
CHCHD2,2.12E-133,0.3131884,0.965,0.935,4.75E-129,1,CHCHD2
DAPP1,1.74E-132,0.2823845,0.496,0.19,3.90E-128,1,DAPP1
KLHDC8B,1.69E-131,0.4495158,0.744,0.486,3.78E-127,1,KLHDC8B
CLEC1B,3.30E-131,0.4411113,0.528,0.224,7.39E-127,1,CLEC1B
ELF1,1.41E-129,0.4398758,0.797,0.593,3.16E-125,1,ELF1
TIMP31,1.43E-129,0.5892135,0.811,0.634,3.21E-125,1,TIMP3
EMP3,3.23E-129,0.4739445,0.885,0.729,7.24E-125,1,EMP3
RUFY1,9.85E-129,0.3855764,0.676,0.396,2.20E-124,1,RUFY1
RGS18,5.62E-128,0.3678244,0.585,0.274,1.26E-123,1,RGS18
PSTPIP2,3.88E-125,0.3686451,0.707,0.436,8.68E-121,1,PSTPIP2
CXCL3,6.84E-125,0.4204434,0.642,0.341,1.53E-120,1,CXCL3
ACRBP,1.04E-124,0.4248241,0.618,0.315,2.33E-120,1,ACRBP
HMGB2,2.49E-123,0.5691661,0.905,0.819,5.57E-119,1,HMGB2
BTK,1.15E-121,0.3885279,0.703,0.43,2.58E-117,1,BTK
LRRFIP2,3.83E-120,0.424451,0.718,0.502,8.56E-116,1,LRRFIP2
DLK1,7.65E-120,0.4417754,0.877,0.726,1.71E-115,1,DLK1
INKA1,8.09E-118,0.4034564,0.778,0.576,1.81E-113,1,INKA1
KIF2A,9.28E-117,0.4456227,0.744,0.508,2.08E-112,1,KIF2A
CD69,1.24E-115,0.2833592,0.42,0.162,2.77E-111,1,CD69
SWT1,1.57E-115,0.2923831,0.43,0.171,3.52E-111,1,SWT1
HIPK2,2.82E-115,0.4081122,0.739,0.515,6.30E-111,1,HIPK2
TPST2,4.11E-115,0.3701105,0.776,0.579,9.19E-111,1,TPST2
H2AFV,1.28E-114,0.3608859,0.884,0.835,2.87E-110,1,H2AFV
HCST,1.69E-114,0.4314638,0.692,0.425,3.77E-110,1,HCST
DNAJC9,2.13E-114,0.3903439,0.802,0.656,4.77E-110,1,DNAJC9
LGALSL,3.01E-114,0.388074,0.511,0.232,6.74E-110,1,LGALSL
PIK3CB,6.28E-114,0.2679961,0.556,0.276,1.41E-109,1,PIK3CB
PRICKLE1,1.10E-113,0.2749121,0.577,0.287,2.45E-109,1,PRICKLE1
ANP32B,2.51E-113,0.3962433,0.936,0.891,5.62E-109,1,ANP32B
LAT,7.27E-113,0.2941376,0.406,0.157,1.63E-108,1,LAT
SVIP,1.09E-112,0.3801624,0.718,0.51,2.44E-108,1,SVIP
TUBA4A,1.92E-112,0.489073,0.527,0.251,4.29E-108,1,TUBA4A
HBA1,2.32E-112,0.2901019,1,0.849,5.20E-108,1,HBA1
GNG5,6.25E-112,0.2604731,0.946,0.926,1.40E-107,1,GNG5
LCN2,8.86E-111,0.2863365,0.391,0.142,1.98E-106,1,LCN2
RBPMS2,1.33E-110,0.3646429,0.629,0.38,2.98E-106,1,RBPMS2
HMGN2,3.37E-110,0.3866608,0.92,0.902,7.53E-106,1,HMGN2
CDKN3,9.70E-110,0.4321328,0.64,0.396,2.17E-105,1,CDKN3
CNRIP1,1.01E-109,0.4926655,0.571,0.322,2.25E-105,1,CNRIP1
TNNI3,1.19E-108,0.3517905,0.409,0.159,2.67E-104,1,TNNI3
STXBP2,5.46E-108,0.3927637,0.767,0.547,1.22E-103,1,STXBP2
MAPRE2,6.75E-108,0.3115812,0.638,0.373,1.51E-103,1,MAPRE2
AC090409.1,1.12E-106,0.2548817,0.378,0.144,2.51E-102,1,AC090409.1
MYL12A,5.60E-106,0.3528831,0.978,0.916,1.25E-101,1,MYL12A
TYMS,6.48E-106,0.4080697,0.795,0.622,1.45E-101,1,TYMS
NRGN,2.62E-103,0.3929192,0.663,0.426,5.85E-99,1,NRGN
CKS2,6.04E-103,0.5280553,0.884,0.816,1.35E-98,1,CKS2
ASF1B,1.67E-102,0.2753041,0.524,0.276,3.73E-98,1,ASF1B
UCP2,3.66E-101,0.3734059,0.749,0.52,8.20E-97,1,UCP2
COX17,5.15E-100,0.3649008,0.847,0.752,1.15E-95,1,COX17
ANO6,1.19E-99,0.265872,0.593,0.336,2.67E-95,1,ANO6
LSM4,1.77E-99,0.3032671,0.899,0.857,3.97E-95,1,LSM4
NUDT1,1.93E-99,0.3714939,0.755,0.599,4.31E-95,1,NUDT1
MPP1,8.46E-99,0.375774,0.801,0.568,1.89E-94,1,MPP1
RAP2B,1.12E-98,0.3540517,0.659,0.431,2.50E-94,1,RAP2B
ABCC4,1.73E-98,0.2705307,0.637,0.378,3.88E-94,1,ABCC4
GFI1B,3.24E-98,0.3619149,0.704,0.438,7.24E-94,1,GFI1B
ZWINT,1.34E-97,0.3349847,0.698,0.491,3.00E-93,1,ZWINT
MKI67,4.17E-96,0.41659,0.594,0.362,9.34E-92,1,MKI67
UBE2T,4.83E-96,0.3308055,0.69,0.472,1.08E-91,1,UBE2T
RAB8A,7.38E-96,0.36633,0.782,0.637,1.65E-91,1,RAB8A
MDM1,5.35E-95,0.350616,0.527,0.277,1.20E-90,1,MDM1
STOM,1.17E-94,0.3256244,0.63,0.399,2.61E-90,1,STOM
HINT2,2.48E-94,0.3180442,0.832,0.754,5.54E-90,1,HINT2
HBG1,9.19E-94,0.3857536,0.662,0.365,2.06E-89,1,HBG1
PDLIM5,4.42E-93,0.3184177,0.739,0.533,9.90E-89,1,PDLIM5
MAX,5.58E-92,0.3253416,0.812,0.627,1.25E-87,1,MAX
IDH2,6.56E-92,0.3757376,0.834,0.734,1.47E-87,1,IDH2
CCDC28B,1.01E-91,0.3550874,0.743,0.572,2.26E-87,1,CCDC28B
HMGB1,1.76E-91,0.2868778,0.97,0.96,3.94E-87,1,HMGB1
DAAM1,2.46E-91,0.3881286,0.712,0.537,5.51E-87,1,DAAM1
HTRA2,1.89E-90,0.3350448,0.743,0.575,4.24E-86,1,HTRA2
RABGAP1L,1.78E-89,0.2611678,0.44,0.206,3.98E-85,1,RABGAP1L
GMFG,2.12E-89,0.3664457,0.875,0.645,4.75E-85,1,GMFG
RHAG,1.09E-88,0.2899074,0.624,0.363,2.44E-84,1,RHAG
TMPO,1.46E-88,0.3273244,0.71,0.522,3.27E-84,1,TMPO
NFE2,5.06E-87,0.3003708,0.802,0.569,1.13E-82,1,NFE2
FYB1,1.06E-86,0.2908389,0.582,0.323,2.38E-82,1,FYB1
CKS1B,4.80E-86,0.3714237,0.856,0.742,1.08E-81,1,CKS1B
CACYBP,1.34E-85,0.3655733,0.83,0.728,3.00E-81,1,CACYBP
KLHDC3,3.05E-85,0.3480236,0.799,0.698,6.82E-81,1,KLHDC3
ANXA3,4.13E-85,0.2702781,0.624,0.38,9.23E-81,1,ANXA3
FHL2,4.65E-85,0.2614924,0.466,0.236,1.04E-80,1,FHL2
DEK,6.21E-85,0.3277523,0.816,0.737,1.39E-80,1,DEK
ATAD2,5.36E-83,0.2503372,0.541,0.315,1.20E-78,1,ATAD2
CORO1C,2.32E-82,0.327293,0.79,0.65,5.19E-78,1,CORO1C
NT5C3A,5.06E-82,0.3139362,0.697,0.503,1.13E-77,1,NT5C3A
DTYMK,7.13E-82,0.3142459,0.766,0.626,1.60E-77,1,DTYMK
RILP,2.15E-81,0.2805412,0.681,0.493,4.82E-77,1,RILP
TMEM106C,1.77E-80,0.314798,0.666,0.494,3.97E-76,1,TMEM106C
PPBP,8.66E-80,0.4094352,0.835,0.627,1.94E-75,1,PPBP
SMIM1,2.37E-79,0.2700166,0.812,0.587,5.29E-75,1,SMIM1
CMIP,3.19E-79,0.251658,0.71,0.514,7.14E-75,1,CMIP
TESC,8.95E-79,0.335116,0.814,0.614,2.00E-74,1,TESC
GNAS,2.03E-78,0.2566873,0.921,0.894,4.55E-74,1,GNAS
TAL1,6.10E-78,0.2905573,0.71,0.528,1.37E-73,1,TAL1
TALDO1,4.46E-77,0.3240484,0.921,0.849,9.99E-73,1,TALDO1
NENF,4.05E-76,0.382755,0.814,0.701,9.07E-72,1,NENF
MAFG,1.55E-75,0.3033193,0.708,0.581,3.46E-71,1,MAFG
CENPX,2.37E-75,0.2926674,0.828,0.751,5.31E-71,1,CENPX
CKLF,2.46E-75,0.3298668,0.778,0.647,5.50E-71,1,CKLF
SLC39A3,7.41E-74,0.3175835,0.742,0.621,1.66E-69,1,SLC39A3
LIMD2,1.14E-72,0.2927723,0.857,0.729,2.56E-68,1,LIMD2
GMNN,1.81E-72,0.2854547,0.718,0.534,4.05E-68,1,GMNN
FYN,6.51E-72,0.2615285,0.695,0.515,1.46E-67,1,FYN
MYL4,7.66E-72,0.2690157,0.922,0.696,1.71E-67,1,MYL4
PBX1,1.42E-70,0.2948037,0.75,0.583,3.18E-66,1,PBX1
CCNA2,7.98E-70,0.2839535,0.565,0.351,1.79E-65,1,CCNA2
HIST1H4C,9.51E-70,0.7144871,0.851,0.786,2.13E-65,1,HIST1H4C
UNC13D,1.79E-69,0.265078,0.525,0.311,4.02E-65,1,UNC13D
NUSAP1,2.82E-69,0.2740435,0.6,0.381,6.32E-65,1,NUSAP1
SKA2,3.70E-69,0.2705215,0.751,0.632,8.27E-65,1,SKA2
ACTB,4.08E-69,0.2609548,1,0.995,9.12E-65,1,ACTB
CENPF,2.72E-67,0.3419237,0.66,0.472,6.10E-63,1,CENPF
PPIF,6.25E-67,0.3499474,0.684,0.535,1.40E-62,1,PPIF
HMMR,1.13E-66,0.2697275,0.502,0.301,2.53E-62,1,HMMR
CMAS,1.59E-66,0.2943548,0.748,0.609,3.55E-62,1,CMAS
NUCKS1,2.72E-66,0.2736764,0.891,0.87,6.08E-62,1,NUCKS1
TMBIM1,9.62E-66,0.2753651,0.679,0.506,2.15E-61,1,TMBIM1
TPX2,5.67E-65,0.3545951,0.615,0.423,1.27E-60,1,TPX2
ACTN1,8.27E-65,0.2616592,0.766,0.593,1.85E-60,1,ACTN1
ZMYND8,9.42E-65,0.310738,0.751,0.641,2.11E-60,1,ZMYND8
APOBEC3C,1.13E-64,0.3179831,0.72,0.546,2.53E-60,1,APOBEC3C
CDK1,3.58E-64,0.3191633,0.554,0.362,8.01E-60,1,CDK1
PRDX6,3.72E-64,0.3371733,0.96,0.912,8.33E-60,1,PRDX6
RAD23A,7.84E-64,0.2660891,0.81,0.743,1.75E-59,1,RAD23A
TOP2A,1.53E-62,0.306794,0.568,0.367,3.42E-58,1,TOP2A
SMC4,3.00E-62,0.2851672,0.729,0.576,6.71E-58,1,SMC4
SLC44A1,6.14E-62,0.2585878,0.661,0.494,1.37E-57,1,SLC44A1
UROD,8.52E-62,0.3040705,0.867,0.762,1.91E-57,1,UROD
ILK,1.06E-61,0.3252956,0.752,0.639,2.37E-57,1,ILK
HMGA11,1.50E-61,0.2641688,0.945,0.914,3.36E-57,1,HMGA1
CENPW,4.27E-60,0.2680087,0.776,0.638,9.56E-56,1,CENPW
FLNA,6.79E-60,0.2687512,0.776,0.662,1.52E-55,1,FLNA
RNASE1,7.50E-56,0.2882608,0.527,0.327,1.68E-51,1,RNASE1
FADS2,1.77E-55,0.2672336,0.731,0.626,3.95E-51,1,FADS2
F2R,3.06E-51,0.2885032,0.711,0.543,6.85E-47,1,F2R
PCNA,1.03E-50,0.2515937,0.719,0.574,2.31E-46,1,PCNA
FAH,1.93E-50,0.2738161,0.655,0.497,4.31E-46,1,FAH
TMSB4Y,2.19E-48,0.2541032,0.586,0.42,4.91E-44,1,TMSB4Y
PMVK,3.89E-48,0.2657283,0.736,0.631,8.70E-44,1,PMVK
CDC20,1.47E-47,0.2682212,0.575,0.396,3.30E-43,1,CDC20
FADS1,1.54E-45,0.2797369,0.74,0.683,3.44E-41,1,FADS1
LXN,1.17E-44,0.3227882,0.583,0.417,2.62E-40,1,LXN
UBE2S1,2.29E-43,0.3706189,0.725,0.644,5.12E-39,1,UBE2S
AURKA,8.96E-42,0.2761197,0.478,0.327,2.01E-37,1,AURKA
GSTO1,1.32E-41,0.2619697,0.873,0.801,2.96E-37,1,GSTO1
IER2,4.13E-40,0.276027,0.762,0.681,9.24E-36,1,IER2
CDC42SE1,6.51E-40,0.3189626,0.632,0.502,1.46E-35,1,CDC42SE1
IFI27,6.84E-39,0.8074352,0.233,0.116,1.53E-34,1,IFI27
TSC22D1,8.69E-39,0.2786365,0.854,0.758,1.94E-34,1,TSC22D1
ISG15,8.40E-36,0.6519999,0.865,0.784,1.88E-31,1,ISG15
IFI6,2.43E-34,0.535046,0.645,0.52,5.44E-30,1,IFI6
C1orf56,7.27E-25,0.41982,0.463,0.353,1.63E-20,1,C1orf56
RAMP2,0.00E+00,2.2767271,0.839,0.262,0.00E+00,2,RAMP2
ID3,0.00E+00,2.0042684,0.891,0.399,0.00E+00,2,ID3
EDN1,0.00E+00,1.976037,0.612,0.098,0.00E+00,2,EDN1
PLVAP,0.00E+00,1.973136,0.824,0.302,0.00E+00,2,PLVAP
TFPI,0.00E+00,1.9009889,0.853,0.451,0.00E+00,2,TFPI
HAPLN1,0.00E+00,1.8852964,0.848,0.383,0.00E+00,2,HAPLN1
ID1,0.00E+00,1.8730629,0.86,0.363,0.00E+00,2,ID1
IGFBP4,0.00E+00,1.8351871,0.853,0.352,0.00E+00,2,IGFBP4
VAMP5,0.00E+00,1.7936748,0.897,0.635,0.00E+00,2,VAMP5
GJA5,0.00E+00,1.6447186,0.623,0.126,0.00E+00,2,GJA5
ECSCR,0.00E+00,1.6301663,0.82,0.22,0.00E+00,2,ECSCR
TM4SF1,0.00E+00,1.5860002,0.694,0.209,0.00E+00,2,TM4SF1
TMEM100,0.00E+00,1.5540207,0.563,0.085,0.00E+00,2,TMEM100
IGFBP2,0.00E+00,1.4819326,0.867,0.651,0.00E+00,2,IGFBP2
CLDN5,0.00E+00,1.4532127,0.618,0.075,0.00E+00,2,CLDN5
HSPG2,0.00E+00,1.4443724,0.685,0.267,0.00E+00,2,HSPG2
MARCKS,0.00E+00,1.4256976,0.86,0.579,0.00E+00,2,MARCKS
BGN,0.00E+00,1.4124678,0.707,0.176,0.00E+00,2,BGN
VIM,0.00E+00,1.3747609,0.965,0.853,0.00E+00,2,VIM
MARCKSL1,0.00E+00,1.3389574,0.892,0.719,0.00E+00,2,MARCKSL1
ENG,0.00E+00,1.3060074,0.66,0.191,0.00E+00,2,ENG
CLEC14A,0.00E+00,1.3056594,0.58,0.055,0.00E+00,2,CLEC14A
KDR,0.00E+00,1.2729505,0.744,0.285,0.00E+00,2,KDR
CRIP2,0.00E+00,1.2570729,0.695,0.128,0.00E+00,2,CRIP2
TMSB10,0.00E+00,1.2366527,1,0.994,0.00E+00,2,TMSB10
GIMAP4,0.00E+00,1.2279516,0.596,0.044,0.00E+00,2,GIMAP4
FKBP1A,0.00E+00,1.1983364,0.916,0.893,0.00E+00,2,FKBP1A
CDH5,0.00E+00,1.1888382,0.715,0.136,0.00E+00,2,CDH5
GNG11,0.00E+00,1.1819141,0.932,0.842,0.00E+00,2,GNG11
S100A16,0.00E+00,1.1802134,0.731,0.178,0.00E+00,2,S100A16
PALMD,0.00E+00,1.0901072,0.525,0.027,0.00E+00,2,PALMD
EFNB2,0.00E+00,1.0859612,0.623,0.19,0.00E+00,2,EFNB2
LIMCH1,0.00E+00,1.078367,0.67,0.096,0.00E+00,2,LIMCH1
S100A11,0.00E+00,1.0764593,0.944,0.772,0.00E+00,2,S100A11
SOX18,0.00E+00,1.0704327,0.621,0.143,0.00E+00,2,SOX18
FLT1,0.00E+00,1.0183022,0.703,0.232,0.00E+00,2,FLT1
LDB2,0.00E+00,0.9917725,0.628,0.1,0.00E+00,2,LDB2
THY1,0.00E+00,0.9792839,0.647,0.156,0.00E+00,2,THY1
EFNA1,0.00E+00,0.9449438,0.586,0.072,0.00E+00,2,EFNA1
MMRN2,0.00E+00,0.8902477,0.636,0.072,0.00E+00,2,MMRN2
FILIP1,0.00E+00,0.8879801,0.533,0.038,0.00E+00,2,FILIP1
CALCRL,0.00E+00,0.8698327,0.591,0.111,0.00E+00,2,CALCRL
TCIM,0.00E+00,0.8568022,0.436,0.029,0.00E+00,2,TCIM
ADGRL4,0.00E+00,0.854751,0.562,0.031,0.00E+00,2,ADGRL4
CD93,0.00E+00,0.8536782,0.54,0.085,0.00E+00,2,CD93
PROCR,0.00E+00,0.8344255,0.599,0.159,0.00E+00,2,PROCR
NRP1,0.00E+00,0.8079534,0.6,0.124,0.00E+00,2,NRP1
TSPAN18,0.00E+00,0.7946812,0.613,0.146,0.00E+00,2,TSPAN18
HEY1,0.00E+00,0.7934691,0.473,0.05,0.00E+00,2,HEY1
ARHGAP29,0.00E+00,0.762079,0.59,0.101,0.00E+00,2,ARHGAP29
UNC5B,0.00E+00,0.7572627,0.494,0.076,0.00E+00,2,UNC5B
SYNPO,0.00E+00,0.7334354,0.479,0.089,0.00E+00,2,SYNPO
FAM198B,0.00E+00,0.6896055,0.475,0.05,0.00E+00,2,FAM198B
WWTR1,0.00E+00,0.686265,0.537,0.085,0.00E+00,2,WWTR1
MTUS1,0.00E+00,0.6534613,0.465,0.051,0.00E+00,2,MTUS1
SORBS2,0.00E+00,0.6432391,0.367,0.045,0.00E+00,2,SORBS2
TSPAN7,0.00E+00,0.6256779,0.394,0.039,0.00E+00,2,TSPAN7
EMCN,0.00E+00,0.6036513,0.391,0.018,0.00E+00,2,EMCN
HAPLN3,0.00E+00,0.5997846,0.392,0.031,0.00E+00,2,HAPLN3
SOX7,0.00E+00,0.5996029,0.462,0.059,0.00E+00,2,SOX7
TMEM255B,0.00E+00,0.5833802,0.46,0.027,0.00E+00,2,TMEM255B
ACVRL1,0.00E+00,0.5785036,0.509,0.073,0.00E+00,2,ACVRL1
GIMAP1,0.00E+00,0.560427,0.41,0.039,0.00E+00,2,GIMAP1
GIMAP7,0.00E+00,0.5554413,0.306,0.01,0.00E+00,2,GIMAP7
SOX17,0.00E+00,0.5476567,0.385,0.02,0.00E+00,2,SOX17
GIMAP8,0.00E+00,0.5440419,0.418,0.019,0.00E+00,2,GIMAP8
GATA3,0.00E+00,0.5211135,0.46,0.079,0.00E+00,2,GATA3
PTPRB,0.00E+00,0.5162386,0.423,0.04,0.00E+00,2,PTPRB
MCAM,0.00E+00,0.5154964,0.43,0.06,0.00E+00,2,MCAM
TMEM204,0.00E+00,0.5081425,0.437,0.05,0.00E+00,2,TMEM204
FCN3,0.00E+00,0.5012592,0.324,0.026,0.00E+00,2,FCN3
ADGRF5,0.00E+00,0.4898917,0.383,0.016,0.00E+00,2,ADGRF5
KLHL4,0.00E+00,0.446721,0.414,0.056,0.00E+00,2,KLHL4
ADCY4,0.00E+00,0.4155458,0.34,0.018,0.00E+00,2,ADCY4
TM4SF18,0.00E+00,0.407628,0.328,0.017,0.00E+00,2,TM4SF18
DLL4,0.00E+00,0.40023,0.338,0.013,0.00E+00,2,DLL4
FAM124B,0.00E+00,0.398332,0.338,0.025,0.00E+00,2,FAM124B
PCAT19,0.00E+00,0.3870249,0.311,0.011,0.00E+00,2,PCAT19
CXorf36,0.00E+00,0.382661,0.303,0.014,0.00E+00,2,CXorf36
ROBO4,0.00E+00,0.3579305,0.332,0.011,0.00E+00,2,ROBO4
RHOJ,0.00E+00,0.3549821,0.345,0.031,0.00E+00,2,RHOJ
GALNT18,0.00E+00,0.3401071,0.3,0.023,0.00E+00,2,GALNT18
FLT4,0.00E+00,0.3252085,0.315,0.028,0.00E+00,2,FLT4
SHE,0.00E+00,0.2920714,0.293,0.013,0.00E+00,2,SHE
THSD1,0.00E+00,0.2764955,0.297,0.014,0.00E+00,2,THSD1
PREX2,0.00E+00,0.2605984,0.248,0.009,0.00E+00,2,PREX2
ENTPD1,4.57E-307,0.370042,0.314,0.029,1.02E-302,2,ENTPD1
SLC9A3R2,5.07E-307,0.8424853,0.634,0.204,1.14E-302,2,SLC9A3R2
NT5E,5.85E-307,0.2676382,0.265,0.016,1.31E-302,2,NT5E
EMP1,9.44E-305,0.4785503,0.336,0.035,2.11E-300,2,EMP1
PRCP,7.74E-304,1.2626757,0.723,0.331,1.73E-299,2,PRCP
TIE1,1.54E-303,0.9351695,0.666,0.243,3.45E-299,2,TIE1
FBLIM1,2.22E-301,0.4161224,0.424,0.067,4.98E-297,2,FBLIM1
IFITM3,2.23E-298,1.0341958,0.947,0.854,4.98E-294,2,IFITM3
ITGA5,2.07E-297,0.7543928,0.627,0.205,4.62E-293,2,ITGA5
PRKCH,4.38E-297,0.3237095,0.311,0.03,9.80E-293,2,PRKCH
NOTCH4,1.29E-291,0.3750778,0.351,0.044,2.88E-287,2,NOTCH4
A2M,8.01E-287,0.4449031,0.313,0.033,1.79E-282,2,A2M
TEK,4.55E-282,0.5719695,0.52,0.124,1.02E-277,2,TEK
GDPD5,7.88E-280,0.3846684,0.375,0.055,1.76E-275,2,GDPD5
PLK2,2.29E-279,0.7502986,0.554,0.143,5.13E-275,2,PLK2
KANK3,6.06E-279,0.271771,0.277,0.023,1.36E-274,2,KANK3
PLA2G16,1.41E-276,0.3988004,0.355,0.047,3.15E-272,2,PLA2G16
PCDH12,1.34E-274,0.2543879,0.234,0.014,2.99E-270,2,PCDH12
RGS51,1.78E-273,0.7338177,0.627,0.168,3.98E-269,2,RGS5
CALM1,2.01E-271,0.9689223,0.906,0.865,4.50E-267,2,CALM1
CD40,6.85E-269,0.7094877,0.561,0.168,1.53E-264,2,CD40
RASIP1,2.96E-266,0.4774013,0.46,0.094,6.63E-262,2,RASIP1
NPDC1,1.95E-264,0.8563743,0.604,0.214,4.36E-260,2,NPDC1
RAPGEF5,4.90E-264,0.286643,0.252,0.019,1.10E-259,2,RAPGEF5
LPAR6,2.34E-262,0.5147669,0.401,0.071,5.24E-258,2,LPAR6
CD34,4.02E-261,0.9943507,0.695,0.304,8.99E-257,2,CD34
S1PR1,4.19E-259,0.3246323,0.353,0.051,9.38E-255,2,S1PR1
CGNL1,2.05E-258,0.5139634,0.49,0.114,4.59E-254,2,CGNL1
RPS6KA2,5.65E-258,0.402971,0.361,0.056,1.26E-253,2,RPS6KA2
HES4,2.33E-256,1.2622966,0.676,0.309,5.23E-252,2,HES4
CD99,6.39E-256,1.0647561,0.855,0.729,1.43E-251,2,CD99
ERG,5.65E-255,0.4810607,0.471,0.109,1.26E-250,2,ERG
TRIM47,4.03E-254,0.3690423,0.32,0.041,9.02E-250,2,TRIM47
MYO10,1.32E-251,0.4953107,0.476,0.108,2.96E-247,2,MYO10
IFI16,1.30E-250,0.9679821,0.735,0.364,2.91E-246,2,IFI16
PLXND1,7.03E-250,0.9508265,0.675,0.309,1.57E-245,2,PLXND1
MAGED2,1.02E-248,1.0576255,0.862,0.731,2.29E-244,2,MAGED2
DYSF,2.36E-248,0.378053,0.391,0.07,5.28E-244,2,DYSF
EPAS1,6.25E-246,0.6705534,0.516,0.138,1.40E-241,2,EPAS1
MYL12B,3.32E-245,0.961837,0.896,0.893,7.43E-241,2,MYL12B
CROT,9.45E-244,0.7387489,0.467,0.118,2.12E-239,2,CROT
IGDCC3,3.87E-243,0.748051,0.596,0.195,8.66E-239,2,IGDCC3
LIFR,2.71E-239,0.5856702,0.55,0.153,6.06E-235,2,LIFR
PCAT14,5.82E-238,0.4073945,0.378,0.067,1.30E-233,2,PCAT14
CAVIN1,7.21E-236,0.850837,0.698,0.334,1.61E-231,2,CAVIN1
PCDH17,1.70E-235,0.5250087,0.443,0.098,3.80E-231,2,PCDH17
HTRA1,8.36E-234,0.4232042,0.349,0.057,1.87E-229,2,HTRA1
CD241,3.58E-232,1.2352786,0.765,0.413,8.01E-228,2,CD24
LRIG3,4.11E-232,0.26556,0.236,0.02,9.20E-228,2,LRIG3
ESAM,2.34E-229,1.0379374,0.734,0.424,5.24E-225,2,ESAM
GJA4,5.51E-229,1.2930267,0.659,0.299,1.23E-224,2,GJA4
CDC42EP1,8.86E-229,0.5992333,0.569,0.183,1.98E-224,2,CDC42EP1
ANTXR2,2.30E-227,0.458092,0.436,0.103,5.16E-223,2,ANTXR2
DOCK6,4.09E-227,0.3251392,0.338,0.055,9.15E-223,2,DOCK6
IFI44L,4.10E-227,0.2962113,0.194,0.011,9.18E-223,2,IFI44L
BACE2,2.66E-226,0.4946266,0.424,0.1,5.95E-222,2,BACE2
ANXA2,5.93E-226,1.0366354,0.826,0.519,1.33E-221,2,ANXA2
BEX3,2.12E-224,0.7306412,0.916,0.899,4.75E-220,2,BEX3
CCND11,2.45E-224,0.9148518,0.639,0.247,5.48E-220,2,CCND1
LYPD6B,2.07E-223,0.2773346,0.269,0.031,4.63E-219,2,LYPD6B
CAVIN3,2.43E-223,0.9080726,0.659,0.271,5.43E-219,2,CAVIN3
CSTB,9.20E-223,0.8160224,0.888,0.891,2.06E-218,2,CSTB
AFAP1L1,1.64E-222,0.3416075,0.373,0.072,3.68E-218,2,AFAP1L1
SH2D3C,4.33E-221,0.3869609,0.372,0.073,9.69E-217,2,SH2D3C
DIO3,3.91E-219,0.5978899,0.347,0.06,8.76E-215,2,DIO3
HSPB1,1.39E-218,0.7805128,0.914,0.904,3.11E-214,2,HSPB1
